,survival,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,family_size
0,0,3,male,0.3394149103491664,1,0,0.10461760461760462,S,Third,man,True,Southampton,no,False,1
2,1,3,female,0.4023277760301982,0,0,0.11435786435786435,S,Third,woman,False,Southampton,yes,True,0
3,1,1,female,0.5438817238125196,1,0,0.7662337662337663,S,First,woman,False,Southampton,yes,False,1
4,0,3,male,0.5438817238125196,0,0,0.11616161616161617,S,Third,man,True,Southampton,no,True,0
6,0,1,male,0.8427178357974205,0,0,0.7483766233766234,S,First,man,True,Southampton,no,True,0
7,0,3,male,0.02485058194400755,3,1,0.3041125541125541,S,Third,child,False,Southampton,no,False,4
8,1,3,female,0.4180559924504561,0,2,0.16065367965367966,S,Third,woman,False,Southampton,yes,False,2
9,1,2,female,0.21358917898710286,1,0,0.4339220779220779,C,Second,child,False,Cherbourg,yes,False,1
10,1,3,female,0.056307014784523435,1,1,0.24098124098124096,S,Third,child,False,Southampton,yes,False,2
11,1,1,female,0.9056307014784524,0,0,0.38311688311688313,S,First,woman,False,Southampton,yes,True,0
12,0,3,male,0.3079584775086505,0,0,0.11616161616161617,S,Third,man,True,Southampton,no,True,0
13,0,3,male,0.6067945894935515,1,5,0.45129870129870125,S,Third,man,True,Southampton,no,False,6
14,0,3,female,0.21358917898710286,0,0,0.11333621933621933,S,Third,child,False,Southampton,no,True,0
15,1,2,female,0.8584460522176786,0,0,0.23088023088023088,S,Second,woman,False,Southampton,yes,True,0
16,0,3,male,0.02485058194400755,4,1,0.4202741702741703,Q,Third,child,False,Queenstown,no,False,5
18,0,3,female,0.4809688581314879,1,0,0.2597402597402597,S,Third,woman,False,Southampton,no,False,1
20,0,2,male,0.5438817238125196,0,0,0.37518037518037517,S,Second,man,True,Southampton,no,True,0
21,1,2,male,0.5281535073922617,0,0,0.18759018759018758,S,Second,man,True,Southampton,yes,True,0
22,1,3,female,0.2293173954073608,0,0,0.11586147186147186,Q,Third,child,False,Queenstown,yes,True,0
23,1,1,male,0.43378420887071406,0,0,0.5122655122655123,S,First,man,True,Southampton,yes,True,0
24,0,3,female,0.1192198804655552,3,1,0.3041125541125541,S,Third,child,False,Southampton,no,False,4
25,1,3,female,0.5910663730732935,1,5,0.4529220779220779,S,Third,woman,False,Southampton,yes,False,6
30,0,1,male,0.6225228059138094,0,0,0.40001154401154404,C,First,man,True,Cherbourg,no,True,0
35,0,1,male,0.6539792387543253,1,0,0.7503607503607503,S,First,man,True,Southampton,no,False,1
37,0,3,male,0.3236866939289085,0,0,0.11616161616161617,S,Third,man,True,Southampton,no,True,0
38,0,3,female,0.27650204466813466,2,0,0.2597402597402597,S,Third,woman,False,Southampton,no,False,2
39,1,3,female,0.21358917898710286,1,0,0.1622178932178932,C,Third,child,False,Cherbourg,yes,False,1
40,0,3,female,0.6225228059138094,1,0,0.13672438672438672,S,Third,woman,False,Southampton,no,False,1
41,0,2,female,0.4180559924504561,1,0,0.30303030303030304,S,Second,woman,False,Southampton,no,False,1
43,1,2,female,0.04057879836426549,1,2,0.599988455988456,C,Second,child,False,Cherbourg,yes,False,3
44,1,3,female,0.29223026108839256,0,0,0.1136969696969697,Q,Third,woman,False,Queenstown,yes,True,0
49,0,3,female,0.27650204466813466,1,0,0.2568542568542569,S,Third,woman,False,Southampton,no,False,1
50,0,3,male,0.10349166404529726,4,1,0.5726911976911977,S,Third,child,False,Southampton,no,False,5
51,0,3,male,0.3236866939289085,0,0,0.11255411255411255,S,Third,man,True,Southampton,no,True,0
53,1,2,female,0.449512425290972,1,0,0.37518037518037517,S,Second,woman,False,Southampton,yes,False,1
56,1,2,female,0.3236866939289085,0,0,0.15151515151515152,S,Second,woman,False,Southampton,yes,True,0
57,0,3,male,0.441648317080843,0,0,0.10431746031746031,C,Third,man,True,Cherbourg,no,True,0
58,1,2,female,0.07203523120478138,1,2,0.4004329004329004,S,Second,child,False,Southampton,yes,False,3
59,0,3,male,0.16640452972632902,5,2,0.6767676767676768,S,Third,child,False,Southampton,no,False,7
60,0,3,male,0.3394149103491664,0,0,0.10431746031746031,C,Third,man,True,Cherbourg,no,True,0
63,0,3,male,0.056307014784523435,3,2,0.40259740259740256,S,Third,child,False,Southampton,no,False,5
66,1,2,female,0.449512425290972,0,0,0.15151515151515152,S,Second,woman,False,Southampton,yes,True,0
67,0,3,male,0.29223026108839256,0,0,0.11772438672438673,S,Third,man,True,Southampton,no,True,0
68,1,3,female,0.2607738282478767,4,2,0.11435786435786435,S,Third,woman,False,Southampton,yes,False,6
69,0,3,male,0.4023277760301982,2,0,0.125,S,Third,man,True,Southampton,no,False,2
70,0,2,male,0.49669707455174583,0,0,0.15151515151515152,S,Second,man,True,Southampton,no,True,0
71,0,3,female,0.24504561182761875,5,2,0.6767676767676768,S,Third,woman,False,Southampton,no,False,7
73,0,3,male,0.4023277760301982,1,0,0.20857431457431458,C,Third,man,True,Cherbourg,no,False,1
74,1,3,male,0.49669707455174583,0,0,0.8152352092352093,S,Third,man,True,Southampton,yes,True,0
75,0,3,male,0.38659955960994025,0,0,0.1103896103896104,S,Third,man,True,Southampton,no,True,0
78,1,2,male,0.006448568732305757,0,2,0.4184704184704185,S,Second,child,False,Southampton,yes,False,2
79,1,3,female,0.4652406417112299,0,0,0.18001443001443002,S,Third,woman,False,Southampton,yes,True,0
80,0,3,male,0.3394149103491664,0,0,0.12987012987012986,S,Third,man,True,Southampton,no,True,0
81,1,3,male,0.449512425290972,0,0,0.1370851370851371,S,Third,man,True,Southampton,yes,True,0
83,0,1,male,0.43378420887071406,0,0,0.6796536796536796,S,First,man,True,Southampton,no,True,0
84,1,2,female,0.2607738282478767,0,0,0.15151515151515152,S,Second,woman,False,Southampton,yes,True,0
85,1,3,female,0.5124252909720037,3,0,0.2287157287157287,S,Third,woman,False,Southampton,yes,False,3
86,0,3,male,0.24504561182761875,1,3,0.49603174603174605,S,Third,man,True,Southampton,no,False,4
89,0,3,male,0.3708713431896823,0,0,0.11616161616161617,S,Third,man,True,Southampton,no,True,0
90,0,3,male,0.449512425290972,0,0,0.11616161616161617,S,Third,man,True,Southampton,no,True,0
91,0,3,male,0.3079584775086505,0,0,0.11333621933621933,S,Third,man,True,Southampton,no,True,0
92,0,1,male,0.716892104435357,1,0,0.8827561327561327,S,First,man,True,Southampton,no,False,1
93,0,3,male,0.4023277760301982,1,2,0.2968975468975469,S,Third,man,True,Southampton,no,False,3
94,0,3,male,0.9213589178987103,0,0,0.10461760461760462,S,Third,man,True,Southampton,no,True,0
97,1,1,male,0.35514312676942433,0,1,0.9142611832611832,C,First,man,True,Cherbourg,yes,False,1
98,1,2,female,0.5281535073922617,0,1,0.3318903318903319,S,Second,woman,False,Southampton,yes,False,1
99,0,2,male,0.5281535073922617,1,0,0.37518037518037517,S,Second,man,True,Southampton,no,False,1
100,0,3,female,0.43378420887071406,0,0,0.11393650793650795,S,Third,woman,False,Southampton,no,True,0
103,0,3,male,0.5124252909720037,0,0,0.12488023088023087,S,Third,man,True,Southampton,no,True,0
104,0,3,male,0.5753381566530356,2,0,0.11435786435786435,S,Third,man,True,Southampton,no,False,2
105,0,3,male,0.43378420887071406,0,0,0.11393650793650795,S,Third,man,True,Southampton,no,True,0
106,1,3,female,0.3236866939289085,0,0,0.1103896103896104,S,Third,woman,False,Southampton,yes,True,0
108,0,3,male,0.5910663730732935,0,0,0.11393650793650795,S,Third,man,True,Southampton,no,True,0
110,0,1,male,0.732620320855615,0,0,0.7503607503607503,S,First,man,True,Southampton,no,True,0
111,0,3,female,0.22145328719723184,1,0,0.20857431457431458,C,Third,child,False,Cherbourg,no,False,1
112,0,3,male,0.3394149103491664,0,0,0.11616161616161617,S,Third,man,True,Southampton,no,True,0
113,0,3,female,0.3079584775086505,1,0,0.14177489177489178,S,Third,woman,False,Southampton,no,False,1
114,0,3,female,0.2607738282478767,0,0,0.20863347763347762,C,Third,woman,False,Cherbourg,no,True,0
115,0,3,male,0.3236866939289085,0,0,0.11435786435786435,S,Third,man,True,Southampton,no,True,0
117,0,2,male,0.449512425290972,1,0,0.30303030303030304,S,Second,man,True,Southampton,no,False,1
119,0,3,female,0.02485058194400755,4,2,0.45129870129870125,S,Third,child,False,Southampton,no,False,6
122,0,2,male,0.5045611827618748,1,0,0.4339220779220779,C,Second,man,True,Cherbourg,no,False,1
123,1,2,female,0.5045611827618748,0,0,0.18759018759018758,S,Second,woman,False,Southampton,yes,True,0
125,1,3,male,0.18213274614658698,1,0,0.1622178932178932,C,Third,child,False,Cherbourg,yes,False,1
127,1,3,male,0.3708713431896823,0,0,0.10305483405483405,S,Third,man,True,Southampton,yes,True,0
129,0,3,male,0.7011638880150991,0,0,0.10064935064935064,S,Third,man,True,Southampton,no,True,0
130,0,3,male,0.5124252909720037,0,0,0.11393650793650795,C,Third,man,True,Cherbourg,no,True,0
131,0,3,male,0.3079584775086505,0,0,0.10173160173160173,S,Third,man,True,Southampton,no,True,0
132,0,3,female,0.732620320855615,1,0,0.20923520923520925,S,Third,woman,False,Southampton,no,False,1
134,0,2,male,0.38659955960994025,0,0,0.18759018759018758,S,Second,man,True,Southampton,no,True,0
135,0,2,male,0.35514312676942433,0,0,0.21711111111111112,C,Second,man,True,Cherbourg,no,True,0
136,1,1,female,0.29223026108839256,0,2,0.37926839826839825,S,First,woman,False,Southampton,yes,False,2
137,0,1,male,0.5753381566530356,1,0,0.7662337662337663,S,First,man,True,Southampton,no,False,1
138,0,3,male,0.24504561182761875,0,0,0.132997113997114,S,Third,man,True,Southampton,no,True,0
141,1,3,female,0.3394149103491664,0,0,0.11183261183261184,S,Third,woman,False,Southampton,yes,True,0
142,1,3,female,0.3708713431896823,1,0,0.2287157287157287,S,Third,woman,False,Southampton,yes,False,1
143,0,3,male,0.29223026108839256,0,0,0.09740259740259741,Q,Third,man,True,Queenstown,no,True,0
144,0,2,male,0.27650204466813466,0,0,0.16594516594516595,S,Second,man,True,Southampton,no,True,0
145,0,2,male,0.29223026108839256,1,1,0.5303030303030303,S,Second,man,True,Southampton,no,False,2
146,1,3,male,0.4180559924504561,0,0,0.11249350649350649,S,Third,man,True,Southampton,yes,True,0
147,0,3,female,0.13494809688581316,2,2,0.49603174603174605,S,Third,child,False,Southampton,no,False,4
148,0,2,male,0.5674740484429066,0,2,0.37518037518037517,S,Second,man,True,Southampton,no,False,2
149,0,2,male,0.6539792387543253,0,0,0.18759018759018758,S,Second,man,True,Southampton,no,True,0
150,0,2,male,0.7955331865366467,0,0,0.18073593073593075,S,Second,man,True,Southampton,no,True,0
151,1,1,female,0.3394149103491664,1,0,0.9610389610389609,S,First,woman,False,Southampton,yes,False,1
152,0,3,male,0.8663101604278075,0,0,0.11616161616161617,S,Third,man,True,Southampton,no,True,0
153,0,3,male,0.6303869141239383,0,2,0.20923520923520925,S,Third,man,True,Southampton,no,False,2
155,0,1,male,0.7955331865366467,0,1,0.8857027417027417,C,First,man,True,Cherbourg,no,False,1
156,1,3,female,0.24504561182761875,0,0,0.11159163059163059,Q,Third,woman,False,Queenstown,yes,True,0
157,0,3,male,0.4652406417112299,0,0,0.11616161616161617,S,Third,man,True,Southampton,no,True,0
160,0,3,male,0.6854356715948411,0,1,0.23232323232323235,S,Third,man,True,Southampton,no,False,1
161,1,2,female,0.6225228059138094,0,0,0.22727272727272727,S,Second,woman,False,Southampton,yes,True,0
162,0,3,male,0.4023277760301982,0,0,0.11219336219336219,S,Third,man,True,Southampton,no,True,0
163,0,3,male,0.2607738282478767,0,0,0.125,S,Third,man,True,Southampton,no,True,0
164,0,3,male,0.009122365523749607,4,1,0.5726911976911977,S,Third,child,False,Southampton,no,False,5
165,1,3,male,0.13494809688581316,0,2,0.29617604617604615,S,Third,child,False,Southampton,yes,False,2
167,0,3,female,0.7011638880150991,1,4,0.40259740259740256,S,Third,woman,False,Southampton,no,False,5
169,0,3,male,0.43378420887071406,0,0,0.8152352092352093,S,Third,man,True,Southampton,no,True,0
170,0,1,male,0.9528153507392262,0,0,0.4834054834054834,S,First,man,True,Southampton,no,True,0
171,0,3,male,0.056307014784523435,4,1,0.4202741702741703,Q,Third,child,False,Queenstown,no,False,5
172,1,3,female,0.009122365523749607,1,1,0.16065367965367966,S,Third,child,False,Southampton,yes,False,2
174,0,1,male,0.8741742686379365,0,0,0.4429408369408369,C,First,man,True,Cherbourg,no,True,0
175,0,3,male,0.27650204466813466,1,1,0.11333621933621933,S,Third,man,True,Southampton,no,False,2
177,0,1,female,0.7798049701163888,0,0,0.4143217893217893,C,First,woman,False,Cherbourg,no,True,0
178,0,2,male,0.4652406417112299,0,0,0.18759018759018758,S,Second,man,True,Southampton,no,True,0
179,0,3,male,0.5596099402327777,0,0,0.0,S,Third,man,True,Southampton,no,True,0
182,0,3,male,0.13494809688581316,4,2,0.4529220779220779,S,Third,child,False,Southampton,no,False,6
183,1,2,male,0.009122365523749607,2,1,0.5627705627705628,S,Second,child,False,Southampton,yes,False,3
184,1,3,female,0.056307014784523435,0,2,0.3178210678210678,S,Third,child,False,Southampton,yes,False,2
187,1,1,male,0.7011638880150991,0,0,0.38311688311688313,S,First,man,True,Southampton,yes,True,0
188,0,3,male,0.6225228059138094,1,1,0.22366522366522368,Q,Third,man,True,Queenstown,no,False,2
189,0,3,male,0.5596099402327777,0,0,0.11393650793650795,S,Third,man,True,Southampton,no,True,0
190,1,2,female,0.49669707455174583,0,0,0.18759018759018758,S,Second,woman,False,Southampton,yes,True,0
191,0,2,male,0.29223026108839256,0,0,0.18759018759018758,S,Second,man,True,Southampton,no,True,0
192,1,3,female,0.29223026108839256,1,0,0.11333621933621933,S,Third,woman,False,Southampton,yes,False,1
193,1,2,male,0.04057879836426549,1,1,0.37518037518037517,S,Second,child,False,Southampton,yes,False,2
194,1,1,female,0.6854356715948411,0,0,0.40001154401154404,C,First,woman,False,Cherbourg,yes,True,0
197,0,3,male,0.6539792387543253,0,1,0.12127272727272727,S,Third,man,True,Southampton,no,False,1
199,0,2,female,0.3708713431896823,0,0,0.18759018759018758,S,Second,woman,False,Southampton,no,True,0
200,0,3,male,0.43378420887071406,0,0,0.1370851370851371,S,Third,man,True,Southampton,no,True,0
202,0,3,male,0.5281535073922617,0,0,0.09373448773448774,S,Third,man,True,Southampton,no,True,0
203,0,3,male,0.709027996225228,0,0,0.10425685425685426,C,Third,man,True,Cherbourg,no,True,0
204,1,3,male,0.27650204466813466,0,0,0.11616161616161617,S,Third,man,True,Southampton,yes,True,0
205,0,3,female,0.02485058194400755,0,1,0.15097402597402598,S,Third,child,False,Southampton,no,False,1
206,0,3,male,0.49669707455174583,1,0,0.2287157287157287,S,Third,man,True,Southampton,no,False,1
207,1,3,male,0.4023277760301982,0,0,0.2711038961038961,C,Third,man,True,Cherbourg,yes,True,0
208,1,3,female,0.24504561182761875,0,0,0.11183261183261184,Q,Third,woman,False,Queenstown,yes,True,0
209,1,1,male,0.6225228059138094,0,0,0.44733044733044736,C,First,man,True,Cherbourg,yes,True,0
210,0,3,male,0.3708713431896823,0,0,0.10173160173160173,S,Third,man,True,Southampton,no,True,0
211,1,2,female,0.5438817238125196,0,0,0.30303030303030304,S,Second,woman,False,Southampton,yes,True,0
212,0,3,male,0.3394149103491664,0,0,0.10461760461760462,S,Third,man,True,Southampton,no,True,0
216,1,3,female,0.4180559924504561,0,0,0.11435786435786435,S,Third,woman,False,Southampton,yes,True,0
217,0,2,male,0.6539792387543253,1,0,0.38961038961038963,S,Second,man,True,Southampton,no,False,1
219,0,2,male,0.4652406417112299,0,0,0.15151515151515152,S,Second,man,True,Southampton,no,True,0
220,1,3,male,0.24504561182761875,0,0,0.11616161616161617,S,Third,man,True,Southampton,yes,True,0
221,0,2,male,0.4180559924504561,0,0,0.18759018759018758,S,Second,man,True,Southampton,no,True,0
222,0,3,male,0.7955331865366467,0,0,0.11616161616161617,S,Third,man,True,Southampton,no,True,0
225,0,3,male,0.3394149103491664,0,0,0.1349206349206349,S,Third,man,True,Southampton,no,True,0
226,1,2,male,0.29223026108839256,0,0,0.15151515151515152,S,Second,man,True,Southampton,yes,True,0
227,0,3,male,0.31582258571877947,0,0,0.10461760461760462,S,Third,man,True,Southampton,no,True,0
228,0,2,male,0.27650204466813466,0,0,0.18759018759018758,S,Second,man,True,Southampton,no,True,0
231,0,3,male,0.449512425290972,0,0,0.11219336219336219,S,Third,man,True,Southampton,no,True,0
232,0,2,male,0.9213589178987103,0,0,0.19480519480519481,S,Second,man,True,Southampton,no,True,0
233,1,3,female,0.07203523120478138,4,2,0.4529220779220779,S,Third,child,False,Southampton,yes,False,6
234,0,2,male,0.3708713431896823,0,0,0.15151515151515152,S,Second,man,True,Southampton,no,True,0
236,0,2,male,0.6854356715948411,1,0,0.37518037518037517,S,Second,man,True,Southampton,no,False,1
237,1,2,female,0.1192198804655552,0,2,0.3787878787878788,S,Second,child,False,Southampton,yes,False,2
238,0,2,male,0.29223026108839256,0,0,0.15151515151515152,S,Second,man,True,Southampton,no,True,0
239,0,2,male,0.5124252909720037,0,0,0.17712842712842713,S,Second,man,True,Southampton,no,True,0
242,0,2,male,0.449512425290972,0,0,0.15151515151515152,S,Second,man,True,Southampton,no,True,0
243,0,3,male,0.3394149103491664,0,0,0.10281385281385282,S,Third,man,True,Southampton,no,True,0
244,0,3,male,0.4652406417112299,0,0,0.10425685425685426,C,Third,man,True,Cherbourg,no,True,0
246,0,3,female,0.38659955960994025,0,0,0.11219336219336219,S,Third,woman,False,Southampton,no,True,0
247,1,2,female,0.3708713431896823,0,2,0.20923520923520925,S,Second,woman,False,Southampton,yes,False,2
248,1,1,male,0.5753381566530356,1,1,0.7583578643578643,S,First,man,True,Southampton,yes,False,2
249,0,2,male,0.8427178357974205,1,0,0.37518037518037517,S,Second,man,True,Southampton,no,False,1
251,0,3,female,0.449512425290972,1,1,0.15097402597402598,S,Third,woman,False,Southampton,no,False,2
252,0,1,male,0.9685435671594841,0,0,0.38311688311688313,S,First,man,True,Southampton,no,True,0
253,0,3,male,0.4652406417112299,1,0,0.23232323232323235,S,Third,man,True,Southampton,no,False,1
254,0,3,female,0.6382510223340673,0,2,0.29166666666666663,S,Third,woman,False,Southampton,no,False,2
255,1,3,female,0.449512425290972,0,2,0.219997113997114,C,Third,woman,False,Cherbourg,yes,False,2
259,1,2,female,0.7798049701163888,0,1,0.37518037518037517,S,Second,woman,False,Southampton,yes,False,1
261,1,3,male,0.04057879836426549,4,2,0.4529220779220779,S,Third,child,False,Southampton,yes,False,6
263,0,1,male,0.6225228059138094,0,0,0.0,S,First,man,True,Southampton,no,True,0
265,0,2,male,0.5596099402327777,0,0,0.15151515151515152,S,Second,man,True,Southampton,no,True,0
266,0,3,male,0.24504561182761875,4,1,0.5726911976911977,S,Third,man,True,Southampton,no,False,5
267,1,3,male,0.38659955960994025,1,0,0.11219336219336219,S,Third,man,True,Southampton,yes,False,1
271,1,3,male,0.38659955960994025,0,0,0.0,S,Third,man,True,Southampton,yes,True,0
272,1,2,female,0.6382510223340673,0,1,0.2813852813852814,S,Second,woman,False,Southampton,yes,False,1
