,survival,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,family_size
592,0,3,male,0.732620320855615,0,0,0.10461760461760462,S,Third,man,True,Southampton,no,True,0
594,0,2,male,0.5753381566530356,1,0,0.37518037518037517,S,Second,man,True,Southampton,no,False,1
595,0,3,male,0.5596099402327777,1,1,0.34848484848484845,S,Third,man,True,Southampton,no,False,2
597,0,3,male,0.7640767536961308,0,0,0.0,S,Third,man,True,Southampton,no,True,0
599,1,1,male,0.7640767536961308,1,0,0.8214891774891775,C,First,man,True,Cherbourg,yes,False,1
600,1,2,female,0.3708713431896823,2,1,0.38961038961038963,S,Second,woman,False,Southampton,yes,False,3
603,0,3,male,0.6854356715948411,0,0,0.11616161616161617,S,Third,man,True,Southampton,no,True,0
604,1,1,male,0.5438817238125196,0,0,0.38311688311688313,C,First,man,True,Cherbourg,yes,True,0
605,0,3,male,0.5596099402327777,1,0,0.22438672438672438,S,Third,man,True,Southampton,no,False,1
606,0,3,male,0.4652406417112299,0,0,0.11393650793650795,S,Third,man,True,Southampton,no,True,0
607,1,1,male,0.4180559924504561,0,0,0.4401154401154401,S,First,man,True,Southampton,yes,True,0
608,1,2,female,0.3394149103491664,1,2,0.599988455988456,C,Second,woman,False,Cherbourg,yes,False,3
610,0,3,female,0.6067945894935515,1,5,0.45129870129870125,S,Third,woman,False,Southampton,no,False,6
615,1,2,female,0.3708713431896823,1,2,0.937950937950938,S,Second,woman,False,Southampton,yes,False,3
616,0,3,male,0.5281535073922617,1,1,0.2077922077922078,S,Third,man,True,Southampton,no,False,2
617,0,3,female,0.4023277760301982,1,0,0.23232323232323235,S,Third,woman,False,Southampton,no,False,1
618,1,2,female,0.056307014784523435,2,1,0.5627705627705628,S,Second,child,False,Southampton,yes,False,3
619,0,2,male,0.4023277760301982,0,0,0.15151515151515152,S,Second,man,True,Southampton,no,True,0
620,0,3,male,0.4180559924504561,1,0,0.20857431457431458,C,Third,man,True,Cherbourg,no,False,1
621,1,1,male,0.6539792387543253,1,0,0.7583578643578643,S,First,man,True,Southampton,yes,False,1
622,1,3,male,0.3079584775086505,1,1,0.22715295815295816,C,Third,man,True,Cherbourg,yes,False,2
623,0,3,male,0.3236866939289085,0,0,0.11333621933621933,S,Third,man,True,Southampton,no,True,0
624,0,3,male,0.3236866939289085,0,0,0.23232323232323235,S,Third,man,True,Southampton,no,True,0
625,0,1,male,0.9528153507392262,0,0,0.46638961038961035,S,First,man,True,Southampton,no,True,0
626,0,2,male,0.8899024850581944,0,0,0.1782106782106782,Q,Second,man,True,Queenstown,no,True,0
628,0,3,male,0.4023277760301982,0,0,0.11393650793650795,S,Third,man,True,Southampton,no,True,0
631,0,3,male,0.7955331865366467,0,0,0.1017922077922078,S,Third,man,True,Southampton,no,True,0
632,1,1,male,0.49669707455174583,0,0,0.4401154401154401,C,First,man,True,Cherbourg,yes,True,0
634,0,3,female,0.13494809688581316,3,2,0.40259740259740256,S,Third,child,False,Southampton,no,False,5
637,0,2,male,0.4809688581314879,1,1,0.3787878787878788,S,Second,man,True,Southampton,no,False,2
638,0,3,female,0.6382510223340673,0,5,0.5726911976911977,S,Third,woman,False,Southampton,no,False,5
642,0,3,female,0.02485058194400755,3,2,0.40259740259740256,S,Third,child,False,Southampton,no,False,5
647,1,1,male,0.8741742686379365,0,0,0.5122655122655123,C,First,man,True,Cherbourg,yes,True,0
649,1,3,female,0.35514312676942433,0,0,0.10894660894660894,S,Third,woman,False,Southampton,yes,True,0
651,1,2,female,0.27650204466813466,0,1,0.3318903318903319,S,Second,woman,False,Southampton,yes,False,1
652,0,3,male,0.3236866939289085,0,0,0.12169264069264069,S,Third,man,True,Southampton,no,True,0
654,0,3,female,0.27650204466813466,0,0,0.09740259740259741,Q,Third,woman,False,Queenstown,no,True,0
657,0,3,female,0.49669707455174583,1,1,0.22366522366522368,Q,Third,woman,False,Queenstown,no,False,2
658,0,2,male,0.35514312676942433,0,0,0.18759018759018758,S,Second,man,True,Southampton,no,True,0
661,0,3,male,0.6225228059138094,0,0,0.10425685425685426,C,Third,man,True,Cherbourg,no,True,0
662,0,1,male,0.732620320855615,0,0,0.3692279942279942,S,First,man,True,Southampton,no,True,0
663,0,3,male,0.5596099402327777,0,0,0.10816450216450217,S,Third,man,True,Southampton,no,True,0
664,1,3,male,0.3079584775086505,1,0,0.11435786435786435,S,Third,man,True,Southampton,yes,False,1
668,0,3,male,0.6697074551745832,0,0,0.11616161616161617,S,Third,man,True,Southampton,no,True,0
670,1,2,female,0.6225228059138094,1,1,0.5627705627705628,S,Second,woman,False,Southampton,yes,False,2
671,0,1,male,0.4809688581314879,1,0,0.7503607503607503,S,First,man,True,Southampton,no,False,1
673,1,2,male,0.4809688581314879,0,0,0.18759018759018758,S,Second,man,True,Southampton,yes,True,0
675,0,3,male,0.27650204466813466,0,0,0.11219336219336219,S,Third,man,True,Southampton,no,True,0
676,0,3,male,0.37873545139981124,0,0,0.11616161616161617,S,Third,man,True,Southampton,no,True,0
677,1,3,female,0.27650204466813466,0,0,0.142015873015873,S,Third,woman,False,Southampton,yes,True,0
678,0,3,female,0.6697074551745832,1,6,0.6767676767676768,S,Third,woman,False,Southampton,no,False,7
682,0,3,male,0.3079584775086505,0,0,0.1331168831168831,S,Third,man,True,Southampton,no,True,0
683,0,3,male,0.21358917898710286,5,2,0.6767676767676768,S,Third,child,False,Southampton,no,False,7
684,0,2,male,0.9370871343189682,1,1,0.5627705627705628,S,Second,man,True,Southampton,no,False,2
685,0,2,male,0.38659955960994025,1,2,0.599988455988456,C,Second,man,True,Cherbourg,no,False,3
686,0,3,male,0.21358917898710286,4,1,0.5726911976911977,S,Third,child,False,Southampton,no,False,5
687,0,3,male,0.29223026108839256,0,0,0.14676479076479076,S,Third,man,True,Southampton,no,True,0
688,0,3,male,0.27650204466813466,0,0,0.11249350649350649,S,Third,man,True,Southampton,no,True,0
690,1,1,male,0.4809688581314879,1,0,0.8225108225108225,S,First,man,True,Southampton,yes,False,1
691,1,3,female,0.056307014784523435,0,1,0.1936031746031746,C,Third,child,False,Cherbourg,yes,False,1
693,0,3,male,0.38659955960994025,0,0,0.10425685425685426,C,Third,man,True,Cherbourg,no,True,0
694,0,1,male,0.9370871343189682,0,0,0.38311688311688313,S,First,man,True,Southampton,no,True,0
695,0,2,male,0.8112614029569047,0,0,0.19480519480519481,S,Second,man,True,Southampton,no,True,0
699,0,3,male,0.6539792387543253,0,0,0.1103896103896104,S,Third,man,True,Southampton,no,True,0
701,1,1,male,0.5438817238125196,0,0,0.37932900432900435,S,First,man,True,Southampton,yes,True,0
702,0,3,female,0.27650204466813466,0,1,0.20857431457431458,C,Third,woman,False,Cherbourg,no,False,1
703,0,3,male,0.38659955960994025,0,0,0.11171284271284271,Q,Third,man,True,Queenstown,no,True,0
704,0,3,male,0.4023277760301982,1,0,0.11333621933621933,S,Third,man,True,Southampton,no,False,1
705,0,2,male,0.6067945894935515,0,0,0.37518037518037517,S,Second,man,True,Southampton,no,True,0
706,1,2,female,0.7011638880150991,0,0,0.19480519480519481,S,Second,woman,False,Southampton,yes,True,0
707,1,1,male,0.6539792387543253,0,0,0.37932900432900435,S,First,man,True,Southampton,yes,True,0
710,1,1,female,0.3708713431896823,0,0,0.7143463203463203,C,First,woman,False,Cherbourg,yes,True,0
712,1,1,male,0.7483485372758729,1,0,0.7503607503607503,S,First,man,True,Southampton,yes,False,1
713,0,3,male,0.449512425290972,0,0,0.13684415584415585,S,Third,man,True,Southampton,no,True,0
714,0,2,male,0.8112614029569047,0,0,0.18759018759018758,S,Second,man,True,Southampton,no,True,0
715,0,3,male,0.29223026108839256,0,0,0.1103896103896104,S,Third,man,True,Southampton,no,True,0
717,1,2,female,0.4180559924504561,0,0,0.15151515151515152,S,Second,woman,False,Southampton,yes,True,0
719,0,3,male,0.5124252909720037,0,0,0.11219336219336219,S,Third,man,True,Southampton,no,True,0
720,1,2,female,0.08776344762503932,0,1,0.47619047619047616,S,Second,child,False,Southampton,yes,False,1
721,0,3,male,0.2607738282478767,1,0,0.1017922077922078,S,Third,man,True,Southampton,no,False,1
722,0,2,male,0.5281535073922617,0,0,0.18759018759018758,S,Second,man,True,Southampton,no,True,0
723,0,2,male,0.7798049701163888,0,0,0.18759018759018758,S,Second,man,True,Southampton,no,True,0
724,1,1,male,0.4180559924504561,1,0,0.7662337662337663,S,First,man,True,Southampton,yes,False,1
725,0,3,male,0.3079584775086505,0,0,0.125,S,Third,man,True,Southampton,no,True,0
726,1,2,female,0.4652406417112299,3,0,0.30303030303030304,S,Second,woman,False,Southampton,yes,False,3
728,0,2,male,0.38659955960994025,1,0,0.37518037518037517,S,Second,man,True,Southampton,no,False,1
729,0,3,female,0.38659955960994025,1,0,0.11435786435786435,S,Third,woman,False,Southampton,no,False,1
731,0,3,male,0.16640452972632902,0,0,0.2711038961038961,C,Third,child,False,Cherbourg,no,True,0
735,0,3,male,0.441648317080843,0,0,0.23232323232323235,S,Third,man,True,Southampton,no,True,0
736,0,3,female,0.7483485372758729,1,3,0.49603174603174605,S,Third,woman,False,Southampton,no,False,4
743,0,3,male,0.3708713431896823,1,0,0.23232323232323235,S,Third,man,True,Southampton,no,False,1
744,1,3,male,0.4809688581314879,0,0,0.11435786435786435,S,Third,man,True,Southampton,yes,True,0
746,0,3,male,0.24504561182761875,1,1,0.2922077922077922,S,Third,man,True,Southampton,no,False,2
747,1,2,female,0.4652406417112299,0,0,0.18759018759018758,S,Second,woman,False,Southampton,yes,True,0
748,0,1,male,0.29223026108839256,1,0,0.7662337662337663,S,First,man,True,Southampton,no,False,1
749,0,3,male,0.4809688581314879,0,0,0.11183261183261184,Q,Third,man,True,Queenstown,no,True,0
750,1,2,female,0.056307014784523435,1,1,0.3318903318903319,S,Second,child,False,Southampton,yes,False,2
751,1,3,male,0.08776344762503932,0,1,0.18001443001443002,S,Third,child,False,Southampton,yes,False,1
752,0,3,male,0.5124252909720037,0,0,0.1370851370851371,S,Third,man,True,Southampton,no,True,0
753,0,3,male,0.35514312676942433,0,0,0.11393650793650795,S,Third,man,True,Southampton,no,True,0
754,1,2,female,0.7483485372758729,1,2,0.937950937950938,S,Second,woman,False,Southampton,yes,False,3
755,1,2,male,0.0039320541050644866,1,1,0.20923520923520925,S,Second,child,False,Southampton,yes,False,2
756,0,3,male,0.43378420887071406,0,0,0.11249350649350649,S,Third,man,True,Southampton,no,True,0
761,0,3,male,0.6382510223340673,0,0,0.10281385281385282,S,Third,man,True,Southampton,no,True,0
762,1,3,male,0.3079584775086505,0,0,0.10431746031746031,C,Third,man,True,Cherbourg,yes,True,0
764,0,3,male,0.24504561182761875,0,0,0.11219336219336219,S,Third,man,True,Southampton,no,True,0
767,0,3,female,0.4731047499213589,0,0,0.11183261183261184,Q,Third,woman,False,Queenstown,no,True,0
769,0,3,male,0.49669707455174583,0,0,0.12067099567099568,S,Third,man,True,Southampton,no,True,0
770,0,3,male,0.3708713431896823,0,0,0.1370851370851371,S,Third,man,True,Southampton,no,True,0
771,0,3,male,0.7483485372758729,0,0,0.11333621933621933,S,Third,man,True,Southampton,no,True,0
772,0,2,female,0.8899024850581944,0,0,0.15151515151515152,S,Second,woman,False,Southampton,no,True,0
774,1,2,female,0.8427178357974205,1,3,0.3318903318903319,S,Second,woman,False,Southampton,yes,False,4
775,0,3,male,0.27650204466813466,0,0,0.11183261183261184,S,Third,man,True,Southampton,no,True,0
777,1,3,female,0.07203523120478138,0,0,0.18001443001443002,S,Third,child,False,Southampton,yes,True,0
780,1,3,female,0.19786096256684493,0,0,0.10431746031746031,C,Third,child,False,Cherbourg,yes,True,0
781,1,1,female,0.2607738282478767,1,0,0.8225108225108225,S,First,woman,False,Southampton,yes,False,1
782,0,1,male,0.449512425290972,0,0,0.4329004329004329,S,First,man,True,Southampton,no,True,0
784,0,3,male,0.38659955960994025,0,0,0.10173160173160173,S,Third,man,True,Southampton,no,True,0
785,0,3,male,0.38659955960994025,0,0,0.10461760461760462,S,Third,man,True,Southampton,no,True,0
786,1,3,female,0.27650204466813466,0,0,0.10816450216450217,S,Third,woman,False,Southampton,yes,True,0
787,0,3,male,0.1192198804655552,4,1,0.4202741702741703,Q,Third,child,False,Queenstown,no,False,5
788,1,3,male,0.009122365523749607,1,2,0.2968975468975469,S,Third,child,False,Southampton,yes,False,3
791,0,2,male,0.24504561182761875,0,0,0.37518037518037517,S,Second,man,True,Southampton,no,True,0
794,0,3,male,0.38659955960994025,0,0,0.11393650793650795,S,Third,man,True,Southampton,no,True,0
795,0,2,male,0.6067945894935515,0,0,0.18759018759018758,S,Second,man,True,Southampton,no,True,0
796,1,1,female,0.7640767536961308,0,0,0.3741587301587302,S,First,woman,False,Southampton,yes,True,0
797,1,3,female,0.4809688581314879,0,0,0.1253001443001443,S,Third,woman,False,Southampton,yes,True,0
798,0,3,male,0.4652406417112299,0,0,0.10431746031746031,C,Third,man,True,Cherbourg,no,True,0
799,0,3,female,0.4652406417112299,1,1,0.34848484848484845,S,Third,woman,False,Southampton,no,False,2
801,1,2,female,0.4809688581314879,1,1,0.3787878787878788,S,Second,woman,False,Southampton,yes,False,2
803,1,3,male,0.0,0,1,0.12289610389610389,C,Third,child,False,Cherbourg,yes,False,1
804,1,3,male,0.4180559924504561,0,0,0.10064935064935064,S,Third,man,True,Southampton,yes,True,0
805,0,3,male,0.4809688581314879,0,0,0.11219336219336219,S,Third,man,True,Southampton,no,True,0
806,0,1,male,0.6067945894935515,0,0,0.0,S,First,man,True,Southampton,no,True,0
807,0,3,female,0.27650204466813466,0,0,0.11219336219336219,S,Third,woman,False,Southampton,no,True,0
809,1,1,female,0.5124252909720037,1,0,0.7662337662337663,S,First,woman,False,Southampton,yes,False,1
810,0,3,male,0.4023277760301982,0,0,0.11381673881673882,S,Third,man,True,Southampton,no,True,0
811,0,3,male,0.6067945894935515,0,0,0.34848484848484845,S,Third,man,True,Southampton,no,True,0
812,0,2,male,0.5438817238125196,0,0,0.15151515151515152,S,Second,man,True,Southampton,no,True,0
813,0,3,female,0.08776344762503932,4,2,0.45129870129870125,S,Third,child,False,Southampton,no,False,6
814,0,3,male,0.4731047499213589,0,0,0.11616161616161617,S,Third,man,True,Southampton,no,True,0
816,0,3,female,0.35514312676942433,0,0,0.11435786435786435,S,Third,woman,False,Southampton,no,True,0
817,0,2,male,0.4809688581314879,1,1,0.53397113997114,C,Second,man,True,Cherbourg,no,False,2
818,0,3,male,0.6697074551745832,0,0,0.09307359307359307,S,Third,man,True,Southampton,no,True,0
819,0,3,male,0.1506763133060711,3,2,0.40259740259740256,S,Third,child,False,Southampton,no,False,5
821,1,3,male,0.4180559924504561,0,0,0.125,S,Third,man,True,Southampton,yes,True,0
822,0,1,male,0.5910663730732935,0,0,0.0,S,First,man,True,Southampton,no,True,0
823,1,3,female,0.4180559924504561,0,1,0.18001443001443002,S,Third,woman,False,Southampton,yes,False,1
824,0,3,male,0.02485058194400755,4,1,0.5726911976911977,S,Third,child,False,Southampton,no,False,5
827,1,2,male,0.009122365523749607,0,2,0.53397113997114,C,Second,child,False,Cherbourg,yes,False,2
830,1,3,female,0.2293173954073608,1,0,0.20857431457431458,C,Third,child,False,Cherbourg,yes,False,1
831,1,2,male,0.006448568732305757,1,1,0.27056277056277056,S,Second,child,False,Southampton,yes,False,2
833,0,3,male,0.35514312676942433,0,0,0.11333621933621933,S,Third,man,True,Southampton,no,True,0
834,0,3,male,0.27650204466813466,0,0,0.11976911976911978,S,Third,man,True,Southampton,no,True,0
836,0,3,male,0.3236866939289085,0,0,0.125,S,Third,man,True,Southampton,no,True,0
840,0,3,male,0.3079584775086505,0,0,0.11435786435786435,S,Third,man,True,Southampton,no,True,0
841,0,2,male,0.24504561182761875,0,0,0.15151515151515152,S,Second,man,True,Southampton,no,True,0
842,1,1,female,0.4652406417112299,0,0,0.44733044733044736,C,First,woman,False,Cherbourg,yes,True,0
843,0,3,male,0.5360176156023907,0,0,0.09289321789321789,C,Third,man,True,Cherbourg,no,True,0
845,0,3,male,0.6539792387543253,0,0,0.10894660894660894,S,Third,man,True,Southampton,no,True,0
847,0,3,male,0.5438817238125196,0,0,0.11393650793650795,C,Third,man,True,Cherbourg,no,True,0
848,0,2,male,0.43378420887071406,0,1,0.47619047619047616,S,Second,man,True,Southampton,no,False,1
850,0,3,male,0.056307014784523435,4,2,0.45129870129870125,S,Third,child,False,Southampton,no,False,6
852,0,3,female,0.13494809688581316,1,1,0.219997113997114,C,Third,child,False,Cherbourg,no,False,2
853,1,1,female,0.24504561182761875,0,1,0.5685425685425686,S,First,woman,False,Southampton,yes,False,1
854,0,2,female,0.6854356715948411,1,0,0.37518037518037517,S,Second,woman,False,Southampton,no,False,1
855,1,3,female,0.27650204466813466,0,1,0.1349206349206349,S,Third,woman,False,Southampton,yes,False,1
857,1,1,male,0.7955331865366467,0,0,0.38311688311688313,S,First,man,True,Southampton,yes,True,0
858,1,3,female,0.3708713431896823,0,3,0.27789754689754687,C,Third,woman,False,Cherbourg,yes,False,3
860,0,3,male,0.6382510223340673,2,0,0.2035829725829726,S,Third,man,True,Southampton,no,False,2
861,0,2,male,0.3236866939289085,1,0,0.16594516594516595,S,Second,man,True,Southampton,no,False,1
862,1,1,female,0.7483485372758729,0,0,0.3741587301587302,S,First,woman,False,Southampton,yes,True,0
864,0,2,male,0.3708713431896823,0,0,0.18759018759018758,S,Second,man,True,Southampton,no,True,0
865,1,2,female,0.6539792387543253,0,0,0.18759018759018758,S,Second,woman,False,Southampton,yes,True,0
866,1,2,female,0.4180559924504561,1,0,0.19997546897546897,C,Second,woman,False,Cherbourg,yes,False,1
867,0,1,male,0.4809688581314879,0,0,0.7286551226551227,S,First,man,True,Southampton,no,True,0
869,1,3,male,0.056307014784523435,1,1,0.16065367965367966,S,Third,child,False,Southampton,yes,False,2
871,1,1,female,0.732620320855615,1,1,0.7583578643578643,S,First,woman,False,Southampton,yes,False,2
872,0,1,male,0.5124252909720037,0,0,0.07215007215007214,S,First,man,True,Southampton,no,True,0
873,0,3,male,0.732620320855615,0,0,0.12987012987012986,S,Third,man,True,Southampton,no,True,0
874,1,2,female,0.43378420887071406,1,0,0.3463203463203463,C,Second,woman,False,Cherbourg,yes,False,1
875,1,3,female,0.2293173954073608,0,0,0.10425685425685426,C,Third,child,False,Cherbourg,yes,True,0
876,0,3,male,0.3079584775086505,0,0,0.14207503607503608,S,Third,man,True,Southampton,no,True,0
880,1,2,female,0.38659955960994025,0,1,0.37518037518037517,S,Second,woman,False,Southampton,yes,False,1
881,0,3,male,0.5124252909720037,0,0,0.11393650793650795,S,Third,man,True,Southampton,no,True,0
882,0,3,female,0.3394149103491664,0,0,0.15175613275613276,S,Third,woman,False,Southampton,no,True,0
883,0,2,male,0.43378420887071406,0,0,0.15151515151515152,S,Second,man,True,Southampton,no,True,0
885,0,3,female,0.6067945894935515,0,5,0.4202741702741703,Q,Third,woman,False,Queenstown,no,False,5
887,1,1,female,0.29223026108839256,0,0,0.4329004329004329,S,First,woman,False,Southampton,yes,True,0
889,1,1,male,0.4023277760301982,0,0,0.4329004329004329,C,First,man,True,Cherbourg,yes,True,0
890,0,3,male,0.49669707455174583,0,0,0.11183261183261184,Q,Third,man,True,Queenstown,no,True,0
